id,type,x,y,z,users,total_bw,shared_bw,active
405,FEMTO,42,45,1,0,6800.0,6800.0,false
406,FEMTO,42,45,1,0,6800.0,6800.0,true
407,FEMTO,42,45,1,0,6800.0,6800.0,false
408,FEMTO,42,45,1,0,6800.0,6800.0,false
409,FEMTO,42,45,1,0,6800.0,6800.0,true
410,FEMTO,42,45,1,0,6800.0,6800.0,false
411,FEMTO,42,45,1,0,6800.0,6800.0,true
412,FEMTO,42,45,1,0,6800.0,6800.0,true
413,FEMTO,42,45,1,0,6800.0,6800.0,true
414,FEMTO,42,45,1,0,6800.0,6800.0,true
415,FEMTO,42,45,1,0,6800.0,6800.0,true
416,FEMTO,42,45,1,0,6800.0,6800.0,false
417,FEMTO,97,1,1,0,6800.0,6800.0,true
418,FEMTO,97,1,1,0,6800.0,6800.0,false
419,FEMTO,97,1,1,0,6800.0,6800.0,false
420,FEMTO,97,1,1,0,6800.0,6800.0,false
421,FEMTO,97,1,1,0,6800.0,6800.0,false
422,FEMTO,97,1,1,0,6800.0,6800.0,true
423,FEMTO,97,1,1,0,6800.0,6800.0,false
424,FEMTO,97,1,1,0,6800.0,6800.0,false
425,FEMTO,97,1,1,0,6800.0,6800.0,false
426,FEMTO,97,1,1,0,6800.0,6800.0,true
427,FEMTO,97,1,1,0,6800.0,6800.0,true
428,FEMTO,97,1,1,0,6800.0,6800.0,true
429,FEMTO,64,65,1,0,6800.0,6800.0,true
430,FEMTO,64,65,1,0,6800.0,6800.0,false
431,FEMTO,64,65,1,0,6800.0,6800.0,false
432,FEMTO,64,65,1,1,6800.0,6800.0,true
433,FEMTO,64,65,1,0,6800.0,6800.0,false
434,FEMTO,64,65,1,0,6800.0,6800.0,false
435,FEMTO,64,65,1,1,6800.0,6800.0,true
436,FEMTO,64,65,1,0,6800.0,6800.0,false
437,FEMTO,64,65,1,1,6800.0,6800.0,true
438,FEMTO,64,65,1,0,6800.0,6800.0,false
439,FEMTO,64,65,1,0,6800.0,6800.0,true
440,FEMTO,64,65,1,0,6800.0,6800.0,false
441,FEMTO,65,42,1,0,6800.0,6800.0,false
442,FEMTO,65,42,1,1,6800.0,6800.0,true
443,FEMTO,65,42,1,0,6800.0,6800.0,false
444,FEMTO,65,42,1,3,6800.0,2266.6666666666665,true
445,FEMTO,65,42,1,0,6800.0,6800.0,true
446,FEMTO,65,42,1,0,6800.0,6800.0,true
447,FEMTO,65,42,1,0,6800.0,6800.0,false
448,FEMTO,65,42,1,0,6800.0,6800.0,false
449,FEMTO,65,42,1,0,6800.0,6800.0,true
450,FEMTO,65,42,1,0,6800.0,6800.0,false
451,FEMTO,65,42,1,0,6800.0,6800.0,false
452,FEMTO,65,42,1,1,6800.0,6800.0,true
453,FEMTO,94,44,1,0,6800.0,6800.0,true
454,FEMTO,94,44,1,0,6800.0,6800.0,false
455,FEMTO,94,44,1,1,6800.0,6800.0,true
456,FEMTO,94,44,1,0,6800.0,6800.0,true
457,FEMTO,94,44,1,0,6800.0,6800.0,false
458,FEMTO,94,44,1,0,6800.0,6800.0,true
459,FEMTO,94,44,1,0,6800.0,6800.0,false
460,FEMTO,94,44,1,0,6800.0,6800.0,true
461,FEMTO,94,44,1,0,6800.0,6800.0,false
462,FEMTO,94,44,1,0,6800.0,6800.0,false
463,FEMTO,94,44,1,0,6800.0,6800.0,false
464,FEMTO,94,44,1,0,6800.0,6800.0,true
465,FEMTO,67,1,1,0,6800.0,6800.0,false
466,FEMTO,67,1,1,0,6800.0,6800.0,true
467,FEMTO,67,1,1,0,6800.0,6800.0,false
468,FEMTO,67,1,1,0,6800.0,6800.0,false
469,FEMTO,67,1,1,0,6800.0,6800.0,true
470,FEMTO,67,1,1,0,6800.0,6800.0,false
471,FEMTO,67,1,1,0,6800.0,6800.0,false
472,FEMTO,67,1,1,1,6800.0,6800.0,true
473,FEMTO,67,1,1,1,6800.0,6800.0,true
474,FEMTO,67,1,1,0,6800.0,6800.0,true
475,FEMTO,67,1,1,0,6800.0,6800.0,true
476,FEMTO,67,1,1,0,6800.0,6800.0,false
477,FEMTO,13,78,1,0,6800.0,6800.0,false
478,FEMTO,13,78,1,0,6800.0,6800.0,true
479,FEMTO,13,78,1,0,6800.0,6800.0,true
480,FEMTO,13,78,1,0,6800.0,6800.0,true
481,FEMTO,13,78,1,0,6800.0,6800.0,false
482,FEMTO,13,78,1,0,6800.0,6800.0,true
483,FEMTO,13,78,1,0,6800.0,6800.0,false
484,FEMTO,13,78,1,0,6800.0,6800.0,false
485,FEMTO,13,78,1,0,6800.0,6800.0,true
486,FEMTO,13,78,1,0,6800.0,6800.0,true
487,FEMTO,13,78,1,0,6800.0,6800.0,false
488,FEMTO,13,78,1,0,6800.0,6800.0,true
489,FEMTO,15,9,1,0,6800.0,6800.0,false
490,FEMTO,15,9,1,0,6800.0,6800.0,false
491,FEMTO,15,9,1,0,6800.0,6800.0,true
492,FEMTO,15,9,1,0,6800.0,6800.0,true
493,FEMTO,15,9,1,0,6800.0,6800.0,false
494,FEMTO,15,9,1,0,6800.0,6800.0,true
495,FEMTO,15,9,1,0,6800.0,6800.0,false
496,FEMTO,15,9,1,0,6800.0,6800.0,true
497,FEMTO,15,9,1,0,6800.0,6800.0,false
498,FEMTO,15,9,1,0,6800.0,6800.0,false
499,FEMTO,15,9,1,0,6800.0,6800.0,false
500,FEMTO,15,9,1,0,6800.0,6800.0,false
501,FEMTO,51,29,1,0,6800.0,6800.0,false
502,FEMTO,51,29,1,0,6800.0,6800.0,false
503,FEMTO,51,29,1,0,6800.0,6800.0,false
504,FEMTO,51,29,1,1,6800.0,6800.0,true
505,FEMTO,51,29,1,0,6800.0,6800.0,true
506,FEMTO,51,29,1,0,6800.0,6800.0,false
507,FEMTO,51,29,1,0,6800.0,6800.0,false
508,FEMTO,51,29,1,0,6800.0,6800.0,false
509,FEMTO,51,29,1,0,6800.0,6800.0,true
510,FEMTO,51,29,1,0,6800.0,6800.0,true
511,FEMTO,51,29,1,0,6800.0,6800.0,false
512,FEMTO,51,29,1,1,6800.0,6800.0,true
513,FEMTO,40,32,1,0,6800.0,6800.0,false
514,FEMTO,40,32,1,0,6800.0,6800.0,false
515,FEMTO,40,32,1,0,6800.0,6800.0,false
516,FEMTO,40,32,1,0,6800.0,6800.0,false
517,FEMTO,40,32,1,0,6800.0,6800.0,false
518,FEMTO,40,32,1,0,6800.0,6800.0,true
519,FEMTO,40,32,1,0,6800.0,6800.0,false
520,FEMTO,40,32,1,0,6800.0,6800.0,false
521,FEMTO,40,32,1,0,6800.0,6800.0,true
522,FEMTO,40,32,1,0,6800.0,6800.0,true
523,FEMTO,40,32,1,0,6800.0,6800.0,true
524,FEMTO,40,32,1,0,6800.0,6800.0,true
525,FEMTO,86,48,1,0,6800.0,6800.0,true
526,FEMTO,86,48,1,2,6800.0,3400.0,true
527,FEMTO,86,48,1,0,6800.0,6800.0,false
528,FEMTO,86,48,1,0,6800.0,6800.0,false
529,FEMTO,86,48,1,0,6800.0,6800.0,false
530,FEMTO,86,48,1,1,6800.0,6800.0,true
531,FEMTO,86,48,1,0,6800.0,6800.0,true
532,FEMTO,86,48,1,0,6800.0,6800.0,false
533,FEMTO,86,48,1,0,6800.0,6800.0,true
534,FEMTO,86,48,1,0,6800.0,6800.0,true
535,FEMTO,86,48,1,0,6800.0,6800.0,false
536,FEMTO,86,48,1,0,6800.0,6800.0,true
537,FEMTO,87,5,1,1,6800.0,6800.0,true
538,FEMTO,87,5,1,1,6800.0,6800.0,true
539,FEMTO,87,5,1,0,6800.0,6800.0,false
540,FEMTO,87,5,1,0,6800.0,6800.0,false
541,FEMTO,87,5,1,0,6800.0,6800.0,false
542,FEMTO,87,5,1,0,6800.0,6800.0,true
543,FEMTO,87,5,1,0,6800.0,6800.0,true
544,FEMTO,87,5,1,0,6800.0,6800.0,true
545,FEMTO,87,5,1,0,6800.0,6800.0,false
546,FEMTO,87,5,1,0,6800.0,6800.0,false
547,FEMTO,87,5,1,0,6800.0,6800.0,true
548,FEMTO,87,5,1,0,6800.0,6800.0,false
549,FEMTO,71,41,1,0,6800.0,6800.0,true
550,FEMTO,71,41,1,1,6800.0,6800.0,true
551,FEMTO,71,41,1,0,6800.0,6800.0,false
552,FEMTO,71,41,1,0,6800.0,6800.0,false
553,FEMTO,71,41,1,0,6800.0,6800.0,true
554,FEMTO,71,41,1,1,6800.0,6800.0,true
555,FEMTO,71,41,1,0,6800.0,6800.0,false
556,FEMTO,71,41,1,0,6800.0,6800.0,true
557,FEMTO,71,41,1,0,6800.0,6800.0,false
558,FEMTO,71,41,1,0,6800.0,6800.0,false
559,FEMTO,71,41,1,0,6800.0,6800.0,false
560,FEMTO,71,41,1,0,6800.0,6800.0,false
561,FEMTO,80,22,1,0,6800.0,6800.0,true
562,FEMTO,80,22,1,0,6800.0,6800.0,false
