id,x,y,cell,capacity
0,17,68,155,3.99208825650751
1,72,56,981,31.04299110254733
2,94,97,626,78.95365657731294
3,65,31,802,60.32709442457695
4,69,87,645,47.6865646544045
5,99,21,317,25.90464393963572
6,46,12,770,31.09613794846552
7,92,5,538,41.78194789518972
8,3,90,1011,77.03239187378239
9,61,83,899,68.10196029069185
10,45,33,1121,25.451380869203774
11,37,3,191,2.954919569318277
12,16,68,155,4.041204030841509
13,85,11,356,20.412443436181867
14,5,95,788,93.17246784668394
15,24,37,297,4.403457260109847
16,40,4,191,2.868208734546504
17,96,2,63,26.040810755765296
18,26,31,297,4.761435285995676
19,8,69,155,4.110014118538549
20,9,45,795,30.01088479299462
21,71,60,151,2.046777592603199
22,12,33,727,15.437174880378823
23,28,49,336,4.5838466773924536
24,35,47,308,3.2362779925807583
25,5,8,671,34.20603059752325
26,11,43,727,4.990757858080084
27,25,97,957,35.25137969181457
28,90,13,1092,39.647510286046604
29,56,66,577,14.47916986013367
30,49,95,906,15.050257357647869
31,45,8,753,38.17218475458399
32,83,78,1148,65.35935234372798
33,27,27,297,4.958191676467547
34,55,91,907,21.052959718685255
35,31,95,958,31.057489282227976
36,79,82,1137,41.85168676260646
37,19,9,890,18.604591515605964
38,91,38,1058,38.39231630363559
39,16,51,189,2.3858713279968993
40,17,37,727,11.536339903629964
41,33,21,297,5.489964404800327
42,23,81,956,99.81878339448907
43,15,81,683,88.58226396947735
44,28,28,297,5.0690386744323614
45,26,90,1126,61.63011602101545
46,60,69,577,16.42987216638
47,65,97,588,77.25986703975924
48,62,44,444,17.92931425931874
49,30,65,661,18.511295431523255
50,87,37,1063,35.3815943191311
51,2,49,884,28.161912847210697
52,33,64,661,18.459259556393413
53,96,8,404,10.05722252685818
54,76,29,911,33.974833971597825
55,9,1,300,7.2449846484749205
56,62,44,444,17.92931425931874
57,59,53,870,33.19028939325201
58,85,28,1050,24.01812978973037
59,31,15,888,24.457053220457276
60,0,30,677,27.143276396863385
61,46,26,1124,36.47598396749152
62,99,51,84,23.237783699121994
63,8,98,786,46.84484060603132
64,89,14,1093,31.13693211483584
65,8,41,678,16.08467242503204
66,5,73,702,52.93580045745988
67,92,56,173,12.051396597901503
68,61,43,442,61.437422385907645
69,92,55,173,11.7992217920329
70,82,32,151,1.83368792074932
71,19,81,954,89.63126956230137
72,52,32,504,63.04722229304633
73,71,17,198,2.6193155787938482
74,51,78,901,20.842398614041148
75,89,95,624,58.29134460770102
76,56,50,287,12.530068426341526
77,96,71,820,20.92584338130323
78,21,26,191,2.7725169453365024
79,10,22,718,57.17135207428517
80,28,79,605,100.47582459371228
81,58,38,287,10.648885934631693
82,79,62,151,2.1942306486294703
83,18,3,300,8.255885529939553
84,49,89,906,11.924187778310285
85,21,99,957,25.568216046833488
86,66,61,435,51.97243283105101
87,78,10,971,52.36755120022854
88,68,38,554,61.45239347778316
89,75,89,648,80.16417070434527
90,58,32,260,20.51515029576059
91,40,21,298,2.037100360648361
92,98,20,931,32.797001066564476
93,52,97,907,23.189798651242196
94,99,31,151,1.816161011224259
95,19,89,688,51.46840394958963
96,23,47,336,4.478325177351637
97,27,13,890,29.86744001507902
98,93,22,1100,53.97830182104773
99,52,90,906,20.234861626334837
100,67,81,654,33.8443208130829
101,74,71,151,2.327156291952919
102,43,41,308,3.205643507676444
103,33,8,888,12.31012819389676
104,39,14,298,2.4947761872228167
105,89,52,526,23.843090641022332
106,73,78,151,2.4190812955476853
107,70,86,645,43.17055562340716
108,16,97,786,27.505784805918942
