id,x,y,cell,capacity
0,17,68,187,8.379806061868086
1,72,56,982,30.67697355063442
2,94,97,626,78.95365657731294
3,65,31,802,60.32709442457695
4,69,87,646,69.9005595721332
5,99,21,317,25.90464393963572
6,46,12,770,31.09613794846552
7,92,5,538,41.78194789518972
8,3,90,1011,77.03239187378239
9,61,83,899,68.10196029069185
10,45,33,1121,25.451380869203774
11,37,3,887,6.554159392910556
12,16,68,199,25.63884677329011
13,85,11,999,46.193472615072835
14,5,95,788,93.17246784668394
15,24,37,302,23.313777178606593
16,40,4,154,3.085731032977777
17,96,2,418,34.806012262630624
18,26,31,893,10.883717355784107
19,8,69,246,22.824749841660118
20,9,45,725,17.452372078114273
21,71,60,982,16.36983988640958
22,12,33,728,47.51152035961444
23,28,49,154,4.692768552898083
24,35,47,152,21.50827686098564
25,5,8,671,34.20603059752325
26,11,43,725,31.080799528486935
27,25,97,957,35.25137969181457
28,90,13,1092,39.647510286046604
29,56,66,577,28.95833972026734
30,49,95,906,25.083762262746443
31,45,8,753,38.17218475458399
32,83,78,1148,65.35935234372798
33,27,27,893,16.812277451368942
34,55,91,897,77.60165525969771
35,31,95,958,31.057489282227976
36,79,82,1137,41.85168676260646
37,19,9,888,28.97196398377007
38,91,38,1058,38.39231630363559
39,16,51,215,8.156543793154215
40,17,37,727,19.227233172716605
41,33,21,1078,60.799564785738085
42,23,81,956,99.81878339448907
43,15,81,683,88.58226396947735
44,28,28,893,9.243824212264617
45,26,90,967,77.28494524791746
46,60,69,575,68.56826718841486
47,65,97,586,28.500914717602342
48,62,44,443,26.24294265381993
49,30,65,661,18.511295431523255
50,87,37,1063,70.7631886382622
51,2,49,800,31.040828416794337
52,33,64,661,18.459259556393413
53,96,8,125,19.50343829147927
54,76,29,909,61.95785545746774
55,9,1,300,7.2449846484749205
56,62,44,443,26.24294265381993
57,59,53,870,33.19028939325201
58,85,28,1051,43.98123379784114
59,31,15,894,90.55726493235294
60,0,30,676,54.40699043061305
61,46,26,1124,36.47598396749152
62,99,51,84,23.237783699121994
63,8,98,1005,97.02055233893928
64,89,14,1093,31.13693211483584
65,8,41,724,33.14896547337281
66,5,73,702,52.93580045745988
67,92,56,173,12.051396597901503
68,61,43,442,61.437422385907645
69,92,55,173,11.7992217920329
70,82,32,919,18.270641811005444
71,19,81,681,101.83006714110905
72,52,32,504,63.04722229304633
73,71,17,348,16.36837421030929
74,51,78,901,20.842398614041148
75,89,95,624,58.29134460770102
76,56,50,871,38.71687209227148
77,96,71,262,25.523928062180676
78,21,26,680,39.2250194448548
79,10,22,669,67.21540842662911
80,28,79,1131,83.00821901150263
81,58,38,441,47.187500662892155
82,79,62,984,27.460057710483735
83,18,3,300,8.255885529939553
84,49,89,905,40.96326343835085
85,21,99,957,25.568216046833488
86,66,61,435,51.97243283105101
87,78,10,971,52.36755120022854
88,68,38,554,61.45239347778316
89,75,89,648,80.16417070434527
90,58,32,109,20.13753739707264
91,40,21,297,7.4659367073103216
92,98,20,921,66.98084476503674
93,52,97,907,34.78469797686329
94,99,31,86,19.37584992540295
95,19,89,687,83.17558344017803
96,23,47,336,22.391625886758185
97,27,13,892,71.73259710199689
98,93,22,929,61.62740601581763
99,52,90,906,33.724769377224725
100,67,81,654,67.6886416261658
101,74,71,177,20.085670737751467
102,43,41,297,6.6294879268437485
103,33,8,887,16.334255980036144
104,39,14,885,27.29499175049128
105,89,52,1030,35.789778670618446
106,73,78,652,17.98231584960351
107,70,86,655,65.14574372709377
108,16,97,786,55.011569611837885
109,39,12,885,22.928782751871633
110,61,48,444,46.95531338646002
111,90,7,537,55.801065764664386
112,2,54,214,24.55329125034981
113,75,98,586,13.069878393999325
114,72,79,653,51.20215072681737
115,50,37,108,21.079506607615677
116,58,76,581,52.99971931065825
117,32,69,602,63.40347866781529
118,66,8,91,6.14056149630318
119,2,19,672,89.36722808854933
120,99,55,263,11.032037840040386
121,88,39,1064,60.062534137700055
122,89,72,633,81.12718376568706
123,45,93,905,34.050980145345925
124,0,72,694,38.58951657573644
125,56,11,775,38.61185719888531
126,58,10,237,20.222863896426883
127,4,64,189,4.638870943595704
128,69,29,912,37.345012329693326
129,74,4,92,21.16562438400246
130,20,43,215,7.6169790610200065
131,79,40,550,25.09603730224398
132,29,12,889,97.93673722748788
133,53,90,907,51.458985213952865
134,66,2,472,25.330349298536913
135,51,20,105,20.3392161833705
136,10,9,670,22.234600870231862
137,28,78,604,84.91931525509824
138,61,14,77,5.432262925690407
139,94,77,1144,62.643809715321986
140,60,62,437,47.003434462134955
141,90,53,83,22.165933931442094
142,73,69,73,21.67091077006674
143,52,84,902,81.9265268767017
144,24,64,603,9.719954741101082
145,48,28,512,58.48471016466089
146,72,95,587,35.21574741932371
147,18,61,187,7.587578108626153
148,63,18,223,22.351915517267166
149,12,51,1069,31.068227729498375
150,36,5,887,10.02840017304301
151,58,21,733,50.99833490683328
152,50,48,79,21.390111773354903
153,98,60,263,10.765356460344721
154,72,20,378,18.92872779557415
155,87,46,530,73.92511513725864
156,61,31,77,6.569021714472832
157,39,16,896,21.726227832420737
158,17,0,300,7.899723704942133
159,95,26,402,22.918917116581763
160,18,22,717,14.28222319545984
161,81,31,1049,40.28793336849201
162,85,27,1048,27.688666322742808
163,40,21,297,7.4659367073103216
164,34,44,154,4.310052845027507
165,63,75,900,34.33654034714207
166,83,32,919,13.792465058576303
167,45,34,1121,21.368078688816794
168,41,46,57,25.37693184798347
169,71,97,586,16.965768199162646
170,93,65,821,30.827981282383757
171,61,73,583,52.06091332390918
172,21,36,727,13.360312108056265
173,78,45,989,46.00007266487602
174,35,91,962,91.0331360980602
175,22,63,603,8.371888196408854
176,43,1,239,7.612388107868748
177,90,84,1140,79.73239068355068
178,22,31,728,20.843072366532486
179,18,35,727,19.47394728474834
180,92,13,925,29.550241328264708
181,0,62,189,4.504494518196329
182,98,0,424,34.806012262630624
183,66,4,473,47.90859003464348
184,29,92,968,96.12263043094849
185,98,87,632,61.438621656500445
186,35,29,938,44.00072851982265
187,1,66,189,4.478613842765737
188,3,93,1012,88.00700081771006
189,57,95,592,81.80165884482179
190,49,45,185,19.457657956479526
191,25,64,603,8.726719737278138
192,52,38,78,20.893597564073506
193,11,31,717,31.56109648970917
194,75,66,174,22.53932579382669
195,14,56,189,4.483141630463774
196,87,40,1053,57.77943882846331
197,14,99,1006,70.33315322019982
198,43,1,239,7.612388107868748
199,84,8,1000,31.305616825511073
200,99,17,922,53.11542419336776
201,75,80,652,17.142514802446897
202,19,42,726,37.05262612480904
203,69,61,434,43.26839418303787
204,40,16,896,16.671239394919144
205,8,41,724,33.14896547337281
206,29,70,949,49.77586016156681
207,32,92,959,84.34860615684323
208,31,93,958,33.47136347630187
209,42,96,961,58.3154869598054
210,63,14,77,5.796188846686782
211,3,26,677,98.23854412637357
212,42,3,763,18.098860784634095
213,50,68,657,34.50885763088912
214,91,47,462,58.640171724559394
215,33,9,887,18.619755522192246
216,74,22,569,14.912961311188191
217,67,10,91,6.37617845804089
218,81,70,638,58.420508378365035
219,56,23,731,61.03455346921915
220,50,15,772,49.56961460466384
221,22,81,955,96.12263043094849
222,63,2,471,20.628823800389494
223,99,43,455,53.59404767924659
224,6,61,189,4.767281145208345
225,4,87,1010,57.8698604932167
226,59,47,443,14.4445230481676
227,33,41,154,4.257415704712064
228,33,63,661,12.052920627944681
229,16,55,215,7.331352698054638
230,81,94,587,17.150030042472793
231,16,28,717,17.56895145414403
232,74,79,652,22.759814487806118
233,54,79,901,34.78469797686329
234,40,99,960,61.119911201261424
235,78,3,614,62.637674680785956
236,68,67,432,47.258006924701846
237,64,41,452,61.49146685082577
238,33,42,154,4.29280204867223
239,78,22,569,33.903245018069924
240,17,67,187,8.439322464384784
241,20,12,891,29.347238791932867
242,51,91,906,32.48752595986697
243,68,8,91,7.230349926297994
244,29,99,958,23.908621344289013
245,47,21,397,17.25812797943502
246,60,51,870,26.89127448879652
